Gene stable ID	Chromosome/scaffold name	Gene start (bp)
ENSG00000238551	9	64380194
ENSG00000265691	5	129397062
ENSG00000206658	9	110369592
ENSG00000274055	9	22046758
ENSG00000200571	3	136430084
ENSG00000275208	11	47179611
ENSG00000263762	8	10666978
ENSG00000252612	1	185266535
ENSG00000284321	8	9903388
ENSG00000252714	15	40331537
ENSG00000222664	1	93026252
ENSG00000284182	5	149428918
ENSG00000243338	15	49198900
ENSG00000277713	9	130626297
ENSG00000266006	11	61508596
ENSG00000284062	8	42896197
ENSG00000278234	3	150241777
ENSG00000239708	5	107734773
ENSG00000199784	15	56274530
ENSG00000201796	7	106208167
ENSG00000221340	1	12569972
ENSG00000221464	5	176367946
ENSG00000278359	11	64341849
ENSG00000277120	X	2609191
ENSG00000222054	5	9760907
ENSG00000265112	9	89312225
ENSG00000200456	7	44503773
ENSG00000251866	1	15542165
ENSG00000199910	1	228630390
ENSG00000266328	X	55451495
ENSG00000251761	3	18954943
ENSG00000207705	7	128207872
ENSG00000207563	9	95085208
ENSG00000216192	12	24212421
ENSG00000199516	7	129954693
ENSG00000201598	18	58805268
ENSG00000274647	12	91632912
ENSG00000252066	15	53651977
ENSG00000241162	6	110439996
ENSG00000252539	19	453134
ENSG00000274705	8	41660441
ENSG00000283126	13	54311972
ENSG00000276124	9	129869605
ENSG00000202092	5	119445716
ENSG00000200593	15	25230838
ENSG00000201607	7	95098227
ENSG00000252427	11	46758766
ENSG00000207401	9	110934406
ENSG00000199082	14	100109655
ENSG00000283274	14	16057472
ENSG00000275377	9	40929010
ENSG00000266185	12	69400903
ENSG00000265284	X	6383906
ENSG00000252023	7	120672871
ENSG00000206633	2	10446714
ENSG00000222658	9	12885321
ENSG00000207749	14	101023794
ENSG00000278204	X	53405673
ENSG00000265566	11	57528085
ENSG00000281917	CHR_HG2104_PATCH	112911847
ENSG00000202388	3	122025195
ENSG00000266784	CHR_HSCHR6_MHC_SSTO_CTG1	31363816
ENSG00000206923	9	110903337
ENSG00000201856	11	13907484
ENSG00000275693	10	88992370
ENSG00000201176	4	168885355
ENSG00000198976	1	1169005
ENSG00000212040	14	101031987
ENSG00000207731	X	147230720
ENSG00000202536	4	112755816
ENSG00000202125	3	142420205
ENSG00000241529	3	113632704
ENSG00000252917	12	42347061
ENSG00000264834	1	52928674
ENSG00000252643	7	102834605
ENSG00000284160	15	85380596
ENSG00000201148	1	34112949
ENSG00000264997	11	109263494
ENSG00000212348	8	74048677
ENSG00000263947	CHR_HSCHR16_1_CTG1	14601823
ENSG00000239081	16	24400056
ENSG00000274625	22	18605355
ENSG00000208033	10	104218789
ENSG00000241246	9	124607159
ENSG00000273648	16	5632467
ENSG00000207357	19	1021522
ENSG00000207394	6	23124981
ENSG00000273885	11	93721797
ENSG00000202177	3	101955077
ENSG00000207036	8	70357347
ENSG00000240202	11	93556913
ENSG00000212556	3	127202372
ENSG00000206867	8	41032892
ENSG00000199053	17	7223297
ENSG00000264201	12	48771975
ENSG00000277188	5	76712195
ENSG00000272344	14	100981975
ENSG00000283568	20	29297095
ENSG00000274838	18	10759584
ENSG00000223229	1	96695856
ENSG00000265675	19	49081332
ENSG00000222574	3	78161698
ENSG00000274772	8	144683169
ENSG00000222635	12	48081319
ENSG00000280494	14	75604209
ENSG00000199921	1	76753135
ENSG00000207440	14	31142939
ENSG00000278695	CHR_HSCHR22_1_CTG7	23957418
ENSG00000207525	16	74463888
ENSG00000200253	10	87041238
ENSG00000200579	3	38014568
ENSG00000263750	18	72853321
ENSG00000199151	14	100874493
ENSG00000223096	2	178142548
ENSG00000277762	1	147689256
ENSG00000206687	18	797989
ENSG00000252719	X	139909904
ENSG00000200492	6	92119423
ENSG00000278773	6	30061080
ENSG00000284074	20	62332487
ENSG00000266075	1	3782815
ENSG00000252642	3	125058304
ENSG00000276955	15	28524151
ENSG00000273845	CHR_HSCHR15_3_CTG8	44844600
ENSG00000275411	15	74840642
ENSG00000199212	8	54330687
ENSG00000265355	3	69048958
ENSG00000274266	1	28507366
ENSG00000202268	3	45255409
ENSG00000243383	4	105293664
ENSG00000253063	12	32477382
ENSG00000251781	12	30306431
ENSG00000207644	19	53669157
ENSG00000201933	7	43096732
ENSG00000275991	CHR_HSCHR17_3_CTG2	1101777
ENSG00000252582	9	131021168
ENSG00000244618	6	25031009
ENSG00000265981	3	124732439
ENSG00000206679	1	95125511
ENSG00000243650	2	230507101
ENSG00000264370	2	12737367
ENSG00000275559	13	50081843
ENSG00000275853	7	55731100
ENSG00000222230	4	38758791
ENSG00000244294	21	33918995
ENSG00000266240	4	13627865
ENSG00000221240	2	179860836
ENSG00000263360	16	82844455
ENSG00000242158	2	60640705
ENSG00000212565	17	48880840
ENSG00000221616	8	27048853
ENSG00000200869	16	6873899
ENSG00000201260	10	16207821
ENSG00000200085	1	248029120
ENSG00000266354	2	212926257
ENSG00000207390	CHR_HSCHR15_3_CTG8	44697333
ENSG00000263728	CHR_HSCHR6_MHC_COX_CTG1	30740863
ENSG00000207328	1	37203610
ENSG00000274708	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	54882533
ENSG00000276982	CHR_HSCHR19LRC_LRC_J_CTG3_1	54094681
ENSG00000284280	8	27610601
ENSG00000222923	2	114420125
ENSG00000238478	15	20738679
ENSG00000264139	22	49543393
ENSG00000222755	8	129290983
ENSG00000274210	1	148522601
ENSG00000199377	1	44721786
ENSG00000276281	2	85567662
ENSG00000222774	11	127406028
ENSG00000200075	8	129868590
ENSG00000277617	1	32269338
ENSG00000266194	8	91205485
ENSG00000252900	Y	4174985
ENSG00000265433	3	116850277
ENSG00000277066	13	50045143
ENSG00000202514	8	42949388
ENSG00000239595	17	31465543
ENSG00000252973	19	19232855
ENSG00000201567	X	95582064
ENSG00000275651	9	33467869
ENSG00000238300	9	33934296
ENSG00000212149	17	42940575
ENSG00000200526	13	39785415
ENSG00000242251	22	31757202
ENSG00000266180	6	72967687
ENSG00000207991	9	123402525
ENSG00000273515	2	103953098
ENSG00000222845	2	187122562
ENSG00000275230	9	62363581
ENSG00000283797	7	130877459
ENSG00000200378	5	139447907
ENSG00000222501	8	128010382
ENSG00000244732	3	47560229
ENSG00000202248	2	11561661
ENSG00000207395	15	69406441
ENSG00000263730	X	39661216
ENSG00000251991	11	14478892
ENSG00000278633	KI270731.1	10598
ENSG00000284147	8	95072911
ENSG00000223076	13	60613608
ENSG00000212612	14	18978847
ENSG00000201850	16	68089449
ENSG00000265607	CHR_HSCHR6_MHC_COX_CTG1	31528550
ENSG00000199366	18	23582016
ENSG00000221387	8	102421197
ENSG00000273701	5	60487713
ENSG00000207633	X	139924148
ENSG00000199595	1	161699506
ENSG00000277474	X	53198889
ENSG00000206709	7	73339094
ENSG00000200889	17	59537359
ENSG00000207309	6	96649453
ENSG00000252484	1	224107282
ENSG00000207818	X	152394412
ENSG00000284107	X	134169671
ENSG00000241693	22	38231720
ENSG00000199798	14	100955370
ENSG00000202528	7	149033057
ENSG00000206724	8	124260646
ENSG00000274168	13	94699223
ENSG00000264933	X	123811331
ENSG00000274424	15	30405307
ENSG00000264423	19	41190927
ENSG00000275968	13	105459815
ENSG00000275154	14	91714915
ENSG00000251759	3	166670029
ENSG00000239247	4	2316197
ENSG00000206644	3	196393710
ENSG00000222282	1	37885023
ENSG00000252651	3	73092148
ENSG00000207178	2	182873841
ENSG00000274505	16	11753666
ENSG00000238516	17	28834722
ENSG00000207488	7	90251923
ENSG00000252992	11	117263799
ENSG00000199620	8	26136880
ENSG00000264025	CHR_HSCHR6_MHC_APD_CTG1	28915637
ENSG00000202046	2	120192245
ENSG00000276094	9	41573512
ENSG00000263701	CHR_HSCHR6_MHC_MANN_CTG1	31413150
ENSG00000202363	3	39411054
ENSG00000252412	22	37013225
ENSG00000201027	14	89621918
ENSG00000199964	2	64834056
ENSG00000199446	10	63110139
ENSG00000239742	20	50557682
ENSG00000283136	1	43023549
ENSG00000275372	2	144518447
ENSG00000201801	1	11909808
ENSG00000263671	CHR_HSCHR6_MHC_MANN_CTG1	30795686
ENSG00000207119	15	69457941
ENSG00000199400	2	230058229
ENSG00000242764	1	92402389
ENSG00000278696	15	30800160
ENSG00000206588	14	34556226
ENSG00000265885	13	110097851
ENSG00000278039	X	73850487
ENSG00000252501	1	233448626
ENSG00000199899	12	113156763
ENSG00000271841	3	17664963
ENSG00000222849	1	77779904
ENSG00000206833	16	57830536
ENSG00000206708	3	39025987
ENSG00000281766	CHR_HG126_PATCH	72378406
ENSG00000281710	3	30304321
ENSG00000277341	17	37907957
ENSG00000283367	3	91356755
ENSG00000275049	CHR_HSCHR15_5_CTG8	82403250
ENSG00000252158	8	131432776
ENSG00000238926	X	72284945
ENSG00000200204	16	3086143
ENSG00000207112	11	93730513
ENSG00000200151	8	91594965
ENSG00000222522	8	47979414
ENSG00000252190	1	26006006
ENSG00000274420	3	47818005
ENSG00000286265	Y	19076946
ENSG00000273990	CHR_HSCHR1_4_CTG31	144523860
ENSG00000201793	13	99205708
ENSG00000242650	7	51716657
ENSG00000201442	6	17737458
ENSG00000212459	1	90253456
ENSG00000222796	X	150955494
ENSG00000281072	2	231768604
ENSG00000212475	12	33576095
ENSG00000207210	5	173052452
ENSG00000207138	8	126504763
ENSG00000212414	8	100004583
ENSG00000276673	8	76733302
ENSG00000206857	6	120526294
ENSG00000199803	20	15021553
ENSG00000252746	14	37187219
ENSG00000252246	2	33332898
ENSG00000200972	1	210374154
ENSG00000252868	15	29233868
ENSG00000199566	12	47346166
ENSG00000222650	1	236267780
ENSG00000252689	Y	16138248
ENSG00000199337	1	228614750
ENSG00000252507	2	54850289
ENSG00000201365	8	66653469
ENSG00000207215	8	97358265
ENSG00000238503	2	12030303
ENSG00000209042	20	49278940
ENSG00000222859	4	177181442
ENSG00000277457	CHR_HSCHR19LRC_LRC_S_CTG3_1	54156127
ENSG00000274704	14	49913493
ENSG00000223324	11	111683111
ENSG00000252898	4	173446603
ENSG00000278055	7	130488304
ENSG00000222414	10	101364845
ENSG00000222750	16	19498610
ENSG00000272055	10	13217269
ENSG00000274359	CHR_HSCHR19LRC_COX1_CTG3_1	54102906
ENSG00000275616	17	43239921
ENSG00000273571	7	116954983
ENSG00000199913	7	73095357
ENSG00000207132	17	30344503
ENSG00000201412	10	92710499
ENSG00000240189	8	33580210
ENSG00000223212	7	141052249
ENSG00000277154	CHR_HSCHR19LRC_COX1_CTG3_1	54115536
ENSG00000241156	3	116582552
ENSG00000207056	1	7219360
ENSG00000243562	11	440399
ENSG00000252164	9	34206134
ENSG00000244296	22	19365766
ENSG00000252218	6	43544144
ENSG00000251982	2	217251556
ENSG00000206755	16	30710537
ENSG00000277642	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54868977
ENSG00000207244	8	8961575
ENSG00000201665	13	56885284
ENSG00000252322	4	88583666
ENSG00000222224	2	28927243
ENSG00000222178	5	36485343
ENSG00000277794	13	40730981
ENSG00000207319	2	206701065
ENSG00000283372	15	98026042
ENSG00000274450	1	146862729
ENSG00000222952	1	13623184
ENSG00000201084	15	32175247
ENSG00000278554	3	73959642
ENSG00000251835	8	54152807
ENSG00000199508	2	164858432
ENSG00000263367	CHR_HSCHR6_MHC_MANN_CTG1	31127920
ENSG00000200224	6	56945730
ENSG00000252473	2	39283657
ENSG00000252496	13	79389534
ENSG00000207099	12	65095749
ENSG00000201761	8	22434391
ENSG00000206859	17	17170083
ENSG00000201493	1	218129795
ENSG00000275806	CHR_HSCHR19LRC_PGF1_CTG3_1	54069947
ENSG00000274883	17	45931806
ENSG00000277578	15	84642487
ENSG00000274006	11	84887207
ENSG00000222997	10	130505106
ENSG00000207083	16	69175671
ENSG00000278119	CHR_HSCHR15_4_CTG8	30233872
ENSG00000200769	7	92202243
ENSG00000200170	10	72220752
ENSG00000277035	2	28134408
ENSG00000276546	21	7663911
ENSG00000281316	CHR_HG2058_PATCH	26519354
ENSG00000251754	1	245043928
ENSG00000252540	20	49794811
ENSG00000221461	8	123180310
ENSG00000199263	16	68474553
ENSG00000207061	7	156186122
ENSG00000276105	11	2674097
ENSG00000201009	7	132753023
ENSG00000239679	4	43863274
ENSG00000199520	3	77092057
ENSG00000222398	15	43602543
ENSG00000200246	8	32256496
ENSG00000278384	GL000218.1	51867
ENSG00000252914	3	136721394
ENSG00000277953	CHR_HSCHR19LRC_LRC_T_CTG3_1	54115536
ENSG00000275634	5	60488078
ENSG00000222209	1	118264372
ENSG00000238382	1	232700204
ENSG00000265706	2	28927983
ENSG00000275082	CHR_HSCHR19LRC_COX1_CTG3_1	54894315
ENSG00000200966	9	100581079
ENSG00000264778	CHR_HSCHR6_MHC_SSTO_CTG1	31769573
ENSG00000201372	20	43473013
ENSG00000207295	2	38884560
ENSG00000264613	1	51995740
ENSG00000221583	6	10222036
ENSG00000239703	15	56029684
ENSG00000252677	18	21711950
ENSG00000200250	2	127316873
ENSG00000212308	1	78375164
ENSG00000222376	2	166180652
ENSG00000276345	KI270721.1	2585
ENSG00000274144	CHR_HSCHR19LRC_PGF2_CTG3_1	54115536
ENSG00000241032	8	37908738
ENSG00000252163	X	138397351
ENSG00000200556	16	58496908
ENSG00000207473	10	73346936
ENSG00000207003	19	45047458
ENSG00000202183	X	82561201
ENSG00000274836	17	17676211
ENSG00000253094	13	22803145
ENSG00000200040	6	75928513
ENSG00000278636	1	70430896
ENSG00000207407	11	19591156
ENSG00000199924	4	52494849
ENSG00000200719	8	29048494
ENSG00000251766	Y	10090410
ENSG00000238570	2	161558544
ENSG00000206765	X	133531723
ENSG00000253003	14	34675891
ENSG00000276074	3	181610498
ENSG00000212521	9	98032230
ENSG00000275788	13	30684029
ENSG00000274500	7	130489868
ENSG00000252343	4	182548659
ENSG00000207455	22	29899587
ENSG00000278257	CHR_HSCHR19LRC_PGF2_CTG3_1	54156127
ENSG00000206726	2	124989219
ENSG00000272296	5	181241814
ENSG00000276804	CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665
ENSG00000241174	9	69884363
ENSG00000277025	CHR_HSCHR19LRC_LRC_J_CTG3_1	54173854
ENSG00000275071	13	55128285
ENSG00000252948	Y	26360989
ENSG00000206882	2	22338886
ENSG00000240936	6	6938606
ENSG00000240584	20	7633562
ENSG00000277572	21	14075950
ENSG00000200638	15	25237986
ENSG00000222467	2	121603073
ENSG00000276048	2	44937426
ENSG00000274262	CHR_HSCHR17_7_CTG4	35889558
ENSG00000206975	8	56917084
ENSG00000251958	1	78088988
ENSG00000222678	2	219590687
ENSG00000264341	1	5564071
ENSG00000277628	2	109124357
ENSG00000276528	7	27096124
ENSG00000279336	9	34201273
ENSG00000264676	2	236072295
ENSG00000221230	11	94466495
ENSG00000278422	15	84205454
ENSG00000199311	15	25232387
ENSG00000206807	3	20507644
ENSG00000277187	CHR_HSCHR22_1_CTG7	23879493
ENSG00000199179	12	62603686
ENSG00000277488	17	37940704
ENSG00000239001	4	22118983
ENSG00000252533	5	139221758
ENSG00000264470	1	64579847
ENSG00000222982	12	114504876
ENSG00000222357	3	168475198
ENSG00000284584	13	41568286
ENSG00000243510	2	118016385
ENSG00000223024	13	18869185
ENSG00000265996	1	65057755
ENSG00000222248	6	3088686
ENSG00000251726	14	34845300
ENSG00000207206	9	81725243
ENSG00000265450	13	114273828
ENSG00000207045	7	96330638
ENSG00000200847	7	23491792
ENSG00000264574	10	23393405
ENSG00000252167	9	81885496
ENSG00000272393	7	133082829
ENSG00000206780	4	17320746
ENSG00000278081	CHR_HSCHR19LRC_LRC_S_CTG3_1	54201473
ENSG00000283279	14	101039690
ENSG00000252726	2	59694762
ENSG00000222529	11	118970498
ENSG00000274824	10	71790747
ENSG00000252046	6	20993474
ENSG00000212392	3	57493667
ENSG00000268154	1	154950210
ENSG00000265098	15	35926856
ENSG00000239560	1	44117098
ENSG00000284535	11	62789815
ENSG00000275900	18	26689316
ENSG00000280949	CHR_HG2095_PATCH	17374905
ENSG00000222416	8	93441277
ENSG00000201822	3	180161886
ENSG00000263857	17	59366083
ENSG00000275770	12	48132797
ENSG00000201608	1	160392768
ENSG00000207419	6	11709819
ENSG00000207385	4	53265461
ENSG00000283604	17	81125883
ENSG00000223208	4	119434005
ENSG00000282035	CHR_HSCHR3_1_CTG1	11844908
ENSG00000266187	1	150211632
ENSG00000266531	14	65044688
ENSG00000262104	CHR_HSCHR18_1_CTG2_1	78544095
ENSG00000212195	17	58631641
ENSG00000222051	10	101622859
ENSG00000207613	19	13874699
ENSG00000207234	1	88816779
ENSG00000198984	14	100307859
ENSG00000274706	CHR_HSCHR3_9_CTG3	198071311
ENSG00000277546	CHR_HSCHR17_7_CTG4	38556066
ENSG00000266643	16	2270713
ENSG00000263811	1	16858949
ENSG00000207472	1	182982212
ENSG00000238619	2	55451004
ENSG00000201013	2	233379843
ENSG00000274121	1	231814982
ENSG00000200473	X	70253042
ENSG00000274894	CHR_HSCHR19LRC_LRC_J_CTG3_1	54115536
ENSG00000266523	CHR_HSCHR6_MHC_MCF_CTG1	30814786
ENSG00000274300	17	4969702
ENSG00000275798	CHR_HSCHR6_8_CTG1	32402558
ENSG00000283933	1	150492345
ENSG00000202051	X	147827279
ENSG00000280549	CHR_HG2095_PATCH	17249098
ENSG00000200867	4	7112088
ENSG00000223125	17	41467956
ENSG00000207153	11	60985061
ENSG00000198975	11	122146522
ENSG00000283978	17	31575411
ENSG00000251852	7	103433461
ENSG00000207730	1	1167104
ENSG00000238961	5	77080434
ENSG00000283759	12	12915829
ENSG00000283222	2	64340759
ENSG00000264483	1	227941590
ENSG00000264879	20	20316755
ENSG00000275108	3	98987387
ENSG00000206601	4	108652150
ENSG00000201707	4	88201703
ENSG00000238936	8	41426655
ENSG00000284011	12	66251082
ENSG00000238731	16	72673503
ENSG00000284125	20	32237795
ENSG00000264747	10	57304479
ENSG00000266317	3	181813401
ENSG00000201786	4	153266909
ENSG00000254172	8	30643689
ENSG00000277919	15	62304658
ENSG00000275090	3	33103008
ENSG00000265007	21	30375294
ENSG00000266477	5	69478997
ENSG00000273912	11	28477481
ENSG00000276065	CHR_HSCHR19LRC_LRC_J_CTG3_1	55046861
ENSG00000199156	15	63870930
ENSG00000251940	22	19249873
ENSG00000200462	5	87420341
ENSG00000201502	12	93266017
ENSG00000283990	22	46112749
ENSG00000281133	1	45580892
ENSG00000252548	4	98966815
ENSG00000278108	12	53056944
ENSG00000265503	17	12917268
ENSG00000206914	12	122768099
ENSG00000207180	6	71182612
ENSG00000277209	14	20343075
ENSG00000221264	3	71541970
ENSG00000207151	X	11116092
ENSG00000264864	13	49996415
ENSG00000207095	1	27693731
ENSG00000263583	17	27293910
ENSG00000274086	X	147911822
ENSG00000212604	15	26008940
ENSG00000264881	1	10227718
ENSG00000252184	3	62118300
ENSG00000207956	5	32394378
ENSG00000252230	19	34637696
ENSG00000263800	19	12787128
ENSG00000194717	14	101029634
ENSG00000284005	1	20633679
ENSG00000201161	13	109915096
ENSG00000206796	10	37135237
ENSG00000240116	8	22977877
ENSG00000266478	5	143679860
ENSG00000201186	4	119367562
ENSG00000264279	2	239943015
ENSG00000265641	18	35934088
ENSG00000278774	17	43273101
ENSG00000283212	19	45674932
ENSG00000208024	1	172144535
ENSG00000201566	7	37435115
ENSG00000265083	6	5148233
ENSG00000207503	21	41539206
ENSG00000283320	20	3917502
ENSG00000207767	19	53756741
ENSG00000283081	CHR_HG2095_PATCH	17193232
ENSG00000207620	19	53761133
ENSG00000201140	9	117197118
ENSG00000238789	6	155654963
ENSG00000207975	1	198858873
ENSG00000207554	20	63942631
ENSG00000263894	6	36622436
ENSG00000212385	1	116413766
ENSG00000238778	1	67772593
ENSG00000266097	2	62205826
ENSG00000202242	8	27773645
ENSG00000221055	2	113582959
ENSG00000266243	5	31936102
ENSG00000283867	10	103394253
ENSG00000278149	CHR_HSCHR19LRC_COX1_CTG3_1	54973355
ENSG00000239250	3	71827177
ENSG00000264525	2	66358249
ENSG00000207302	1	25877496
ENSG00000208037	8	22244962
ENSG00000278161	CHR_HSCHR19LRC_PGF1_CTG3_1	54107066
ENSG00000264760	5	154596012
ENSG00000284149	2	131491160
ENSG00000273636	CHR_HSCHR15_3_CTG8	44893143
ENSG00000201420	X	111669829
ENSG00000264763	10	112634170
ENSG00000263828	2	225010461
ENSG00000222343	15	47272597
ENSG00000199512	15	59341314
ENSG00000199716	14	22867818
ENSG00000266324	8	123215788
ENSG00000265694	2	168582943
ENSG00000284446	6	31956839
ENSG00000276596	17	43266633
ENSG00000211579	13	52810050
ENSG00000283474	3	170423103
ENSG00000257770	CHR_HSCHR6_MHC_COX_CTG1	28526012
ENSG00000277308	10	97297290
ENSG00000252057	8	80560567
ENSG00000242330	14	71448689
ENSG00000207632	6	126484631
ENSG00000278412	9	98229149
ENSG00000265850	3	197293878
ENSG00000274118	7	146311720
ENSG00000275451	15	62343029
ENSG00000266808	2	184378975
ENSG00000212402	5	173020728
ENSG00000264069	7	43150895
ENSG00000251745	9	37936707
ENSG00000222838	3	72691705
ENSG00000263403	9	136519568
ENSG00000265623	4	143343460
ENSG00000284532	17	28360654
ENSG00000277062	12	96101951
ENSG00000264901	20	47166967
ENSG00000241064	3	15506623
ENSG00000212158	3	184325696
ENSG00000199043	7	130496111
ENSG00000278438	4	146408583
ENSG00000252927	16	9600097
ENSG00000284344	17	43444806
ENSG00000266507	9	136886733
ENSG00000203286	9	128745857
ENSG00000221598	22	45200954
ENSG00000284200	8	144079874
ENSG00000284000	5	8460925
ENSG00000199977	18	21817624
ENSG00000222452	9	78165465
ENSG00000275816	1	51060018
ENSG00000284353	17	58331232
ENSG00000252012	Y	17559774
ENSG00000284286	X	154019920
ENSG00000206996	8	13044350
ENSG00000266745	3	20137565
ENSG00000222958	6	166509354
ENSG00000276029	9	41233755
ENSG00000200812	15	25180497
ENSG00000201959	7	77041647
ENSG00000284482	10	110898090
ENSG00000221411	19	2234062
ENSG00000200879	11	123058077
ENSG00000207617	9	95086014
ENSG00000252466	3	48316360
ENSG00000252250	2	69334600
ENSG00000222321	X	114651544
ENSG00000202354	7	148983755
ENSG00000240877	7	149125690
ENSG00000277250	3	128673681
ENSG00000207980	19	13836587
ENSG00000273830	14	72516820
ENSG00000222455	9	127841112
ENSG00000221463	X	118386394
ENSG00000276628	CHR_HSCHR19LRC_LRC_I_CTG3_1	54156127
ENSG00000277889	9	106600928
ENSG00000264614	3	185253210
ENSG00000265905	2	38936876
ENSG00000251703	4	57002692
ENSG00000207049	2	236153071
ENSG00000207629	19	53706252
ENSG00000207693	9	137838419
ENSG00000239367	19	1570575
ENSG00000199905	9	107475036
ENSG00000283588	14	101040782
ENSG00000284334	7	75915197
ENSG00000278348	15	74162340
ENSG00000207276	9	96256216
ENSG00000264157	2	96798278
ENSG00000207785	X	50008431
ENSG00000199092	14	101065912
ENSG00000207362	10	100258571
ENSG00000222281	20	11818821
ENSG00000207081	X	134918310
ENSG00000276036	17	38731802
ENSG00000276680	6	144007227
ENSG00000221771	8	127960633
ENSG00000284154	1	33332393
ENSG00000200394	17	67740669
ENSG00000265595	20	54068408
ENSG00000222532	X	63786002
ENSG00000252326	15	25097663
ENSG00000283791	11	65444458
ENSG00000283736	16	15643294
ENSG00000277452	1	150566562
ENSG00000206690	11	88099995
ENSG00000223223	11	59706057
ENSG00000265873	9	88745836
ENSG00000273981	15	23165897
ENSG00000265435	1	180438314
ENSG00000283848	3	50273236
ENSG00000263742	11	72072228
ENSG00000207866	X	147281943
ENSG00000273964	13	28629794
ENSG00000283998	12	94834398
ENSG00000252328	17	35097560
ENSG00000278221	16	16324588
ENSG00000207142	12	42454720
ENSG00000283335	9	128392621
ENSG00000207967	12	116148560
ENSG00000265210	11	19575310
ENSG00000252047	7	103434994
ENSG00000252607	12	60341824
ENSG00000199836	14	99945315
ENSG00000221479	12	97491909
ENSG00000283612	5	168560904
ENSG00000274660	10	100666695
ENSG00000201809	12	73764279
ENSG00000284424	17	31534883
ENSG00000200235	5	140579667
ENSG00000263399	13	98208524
ENSG00000273932	9	133051996
ENSG00000274915	20	63102142
ENSG00000278324	8	127890626
ENSG00000263389	11	36010098
ENSG00000264390	6	140683814
ENSG00000263723	2	237869904
ENSG00000283768	12	119713634
ENSG00000222808	17	77152561
ENSG00000239014	15	24986925
ENSG00000277057	17	38914979
ENSG00000200150	14	100956240
ENSG00000212264	7	23396446
ENSG00000208004	14	101056219
ENSG00000264402	11	74399237
ENSG00000272237	2	227887631
ENSG00000280775	CHR_HG126_PATCH	72692054
ENSG00000278449	7	143382686
ENSG00000252118	10	12456483
ENSG00000207217	7	6016877
ENSG00000207781	14	65471102
ENSG00000275266	11	1996540
ENSG00000207735	19	53720096
ENSG00000207087	2	43091388
ENSG00000277841	15	21513959
ENSG00000284143	12	120723193
ENSG00000264501	1	10306465
ENSG00000278242	Y	25458926
ENSG00000283450	8	41660444
ENSG00000266660	CHR_HSCHR6_MHC_MANN_CTG1	32392288
ENSG00000199490	20	49920597
ENSG00000212240	6	28915645
ENSG00000221656	16	2090195
ENSG00000265195	15	68801850
ENSG00000207647	2	219294111
ENSG00000207135	10	27335501
ENSG00000223092	2	200849038
ENSG00000244632	3	62796124
ENSG00000283471	16	56904264
ENSG00000275043	11	62855564
ENSG00000206846	15	30673750
ENSG00000283534	X	74218549
ENSG00000207411	2	43620878
ENSG00000238840	10	4962436
ENSG00000275109	16	81611348
ENSG00000200506	14	99583017
ENSG00000273776	16	3485381
ENSG00000207013	5	86663144
ENSG00000284508	20	62564912
ENSG00000283364	17	28861371
ENSG00000221381	19	50799032
ENSG00000206927	16	18397937
ENSG00000221300	2	42440377
ENSG00000280792	CHR_HG2233_PATCH	239734956
ENSG00000207033	X	116400848
ENSG00000208883	X	110224985
ENSG00000278581	17	64780759
ENSG00000277478	17	49510817
ENSG00000223015	11	87606783
ENSG00000202029	2	159027036
ENSG00000211514	17	59137758
ENSG00000271986	6	73487590
ENSG00000265956	3	109602828
ENSG00000223158	13	25950704
ENSG00000207736	17	81125276
ENSG00000275518	18	3885353
ENSG00000275538	1	120850819
ENSG00000199797	22	28303754
ENSG00000200021	17	74417594
ENSG00000276049	CHR_HSCHR6_MHC_COX_CTG1	30025770
ENSG00000238685	16	12297197
ENSG00000221493	18	21683510
ENSG00000222240	1	188155839
ENSG00000202206	2	195514036
ENSG00000207160	18	26366301
ENSG00000266494	6	41598723
ENSG00000207861	19	53742512
ENSG00000207782	19	49500785
ENSG00000222087	18	15320840
ENSG00000284272	19	2250639
ENSG00000252656	1	148839483
ENSG00000201048	6	10674658
ENSG00000284049	22	22822776
ENSG00000252317	1	240341385
ENSG00000201623	5	33888056
ENSG00000281384	CHR_HG2233_PATCH	239762860
ENSG00000239396	2	45569199
ENSG00000222162	11	13353208
ENSG00000266617	6	157529132
ENSG00000278617	19	51206929
ENSG00000223088	9	24905469
ENSG00000252884	8	80405516
ENSG00000273898	19	49009906
ENSG00000278799	3	48549961
ENSG00000275483	CHR_HSCHR19LRC_PGF2_CTG3_1	54661303
ENSG00000278089	15	25182385
ENSG00000200999	4	26702309
ENSG00000207023	6	73464073
ENSG00000276019	6	8653558
ENSG00000241392	4	131720260
ENSG00000199248	22	31479383
ENSG00000281426	3	60617805
ENSG00000265057	2	32635255
ENSG00000216191	2	50696172
ENSG00000284736	11	74198748
ENSG00000252767	6	40407853
ENSG00000208025	7	96219662
ENSG00000212421	9	87260450
ENSG00000240625	6	43036196
ENSG00000276532	17	18605054
ENSG00000265452	2	53849122
ENSG00000221782	2	212426263
ENSG00000265924	5	135802985
ENSG00000238882	9	102256604
ENSG00000240927	15	101773238
ENSG00000202308	9	107663140
ENSG00000212490	4	52748137
ENSG00000284191	7	151238421
ENSG00000207438	10	68503152
ENSG00000252814	16	76287630
